nome,squadra,ruolo,eta,presenze,minuti,gol,assist,xG,xA,gialli,rossi,quotazione_ufficiale,correttivo_statistico,valore_finale,analizzato,note_match,fattore_affidabilita,note_fbref,valore_v4
Adam Buksa,Udinese,A,29,25,922,3,0,2.78,1,3,0,20,0.926,19,True,match su cognome+squadra,0.915,"nome completo -- titolarita' 24%, minuti giocati 27% del possibile",17
Boulaye Dia,Lazio,A,28,27,1253,1,2,2.7,1.71,1,0,21,0.919,19,True,match su cognome+squadra,0.955,"nome completo -- titolarita' 52%, minuti giocati 37% del possibile",18
Artem Dovbyk,Bologna,A,28,14,393,3,1,3.1,1.29,0,0,20,0.931,19,True,"match su cognome (squadra diversa, trasferimento presunto)",0.895,"nome completo -- titolarita' 21%, minuti giocati 12% del possibile",17
Mota,Monza,A,,,,,,,,,,19,1.0,19,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,19
Gattuso,Lazio,A,,,,,,,,,,19,1.0,19,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,19
Grosso,Fiorentina,A,,,,,,,,,,19,1.0,19,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,19
M'Bala Nzola,Fiorentina,A,28,14,473,1,1,1.85,0.41,1,0,20,0.896,18,True,"match su cognome (squadra diversa, trasferimento presunto)",1.0,cognome ambiguo (2 candidati),18
Robinio Vaz,Roma,A,18,12,216,1,0,0.66,0,0,0,20,0.879,18,True,match su cognome+squadra,0.867,"nome completo -- titolarita' 0%, minuti giocati 6% del possibile",16
Jayden Addai,Como,A,19,12,686,3,0,1.51,1.02,4,0,20,0.917,18,True,match su cognome+squadra,0.944,"nome completo -- titolarita' 58%, minuti giocati 20% del possibile",17
Nicolas-Gerrit Kühn,Como,A,25,23,665,1,1,0.9,1.44,0,0,20,0.896,18,True,match su cognome+squadra,0.909,"nome completo -- titolarita' 26%, minuti giocati 19% del possibile",16
Alieu Njie,Torino,A,20,15,299,1,1,1.21,0.16,2,0,20,0.889,18,True,match su cognome+squadra,0.884,"nome completo -- titolarita' 13%, minuti giocati 9% del possibile",16
Adams,Venezia,A,,,,,,,,,,18,1.0,18,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,18
Kvernadze,Frosinone,A,,,,,,,,,,18,1.0,18,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,18
Romero,Parma,A,,,,,,,,,,18,1.0,18,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,18
Abate,Torino,A,,,,,,,,,,18,1.0,18,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,18
Aquilani,Sassuolo,A,,,,,,,,,,18,1.0,18,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,18
Tedesco,Bologna,A,,,,,,,,,,18,1.0,18,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,18
Petar Ratkov,Lazio,A,21,8,233,0,0,0.53,0.02,0,0,20,0.865,17,True,match su cognome+squadra,0.894,"nome completo -- titolarita' 25%, minuti giocati 7% del possibile",15
Walid Cheddira,Napoli,A,27,16,221,1,0,0.78,0.09,1,0,19,0.88,17,True,"match su cognome (squadra diversa, trasferimento presunto)",1.0,cognome + squadra,17
N’dri,Lecce,A,,,,,,,,,,17,1.0,17,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome + squadra,17
De Rossi,Genoa,A,,,,,,,,,,17,1.0,17,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome unico (probabile trasferimento),17
Runjaic,Udinese,A,,,,,,,,,,17,1.0,17,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,17
Cyril Ngonge,Napoli,A,25,20,994,1,1,2.76,0.56,2,0,18,0.907,16,True,"match su cognome (squadra diversa, trasferimento presunto)",0.951,"nome completo -- titolarita' 55%, minuti giocati 29% del possibile",15
Álvaro Morata,Como,A,32,26,930,0,1,4.91,0.78,4,1,18,0.9,16,True,match su cognome+squadra,0.927,"nome completo -- titolarita' 35%, minuti giocati 27% del possibile",15
Jacob Ondrejka,Parma,A,22,16,773,0,0,1.42,0.43,2,0,18,0.877,16,True,match su cognome+squadra,0.945,"nome completo -- titolarita' 56%, minuti giocati 23% del possibile",15
Benjamín Domínguez,Sassuolo,A,21,15,547,0,3,0.65,0.26,1,0,18,0.89,16,True,"match su cognome (squadra diversa, trasferimento presunto)",0.92,"nome completo -- titolarita' 40%, minuti giocati 16% del possibile",15
Zakaria Aboukhlal,Torino,A,25,15,511,0,0,0.41,0.6,4,0,18,0.869,16,True,match su cognome+squadra,0.919,"nome completo -- titolarita' 40%, minuti giocati 15% del possibile",15
