nome,squadra,ruolo,eta,presenze,minuti,gol,assist,xG,xA,gialli,rossi,quotazione_ufficiale,correttivo_statistico,valore_finale,analizzato,note_match,fattore_affidabilita,note_fbref,valore_v4
Allegri,Napoli,A,,,,,,,,,,26,1.0,26,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,26
Gasperini,Roma,A,,,,,,,,,,26,1.0,26,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,26
Roberto Piccoli,Bologna,A,24,32,1672,4,1,6.83,1.59,1,0,26,0.979,25,True,"match su cognome (squadra diversa, trasferimento presunto)",0.967,"nome completo -- titolarita' 50%, minuti giocati 49% del possibile",24
Lorenzo Lucca,Napoli,A,24,16,408,1,0,1.91,0.66,1,0,28,0.89,25,True,match su cognome+squadra,0.9,"nome completo -- titolarita' 25%, minuti giocati 12% del possibile",22
Bowie,Sassuolo,A,,,,,,,,,,25,1.0,25,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome unico (probabile trasferimento),25
Ghedjemis,Frosinone,A,,,,,,,,,,25,1.0,25,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,25
Fabregas,Como,A,,,,,,,,,,25,1.0,25,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,25
Adorante,Venezia,A,,,,,,,,,,24,1.0,24,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,24
Yeboah,Venezia,A,,,,,,,,,,24,1.0,24,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,24
Spalletti,Juventus,A,,,,,,,,,,24,1.0,24,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,24
Gennaro Borrelli,Cagliari,A,25,27,1275,5,1,4.58,0.87,4,0,24,0.973,23,True,match su cognome+squadra,0.952,"nome completo -- titolarita' 48%, minuti giocati 37% del possibile",22
Raimondo,Frosinone,A,,,,,,,,,,23,1.0,23,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,23
Sulemana,Atalanta,A,,,,,,,,,,23,1.0,23,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome ambiguo (4 candidati),23
Amorim,Milan,A,,,,,,,,,,23,1.0,23,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nome completo,23
Tijjani Noslin,Lazio,A,26,29,1148,4,2,4.32,2.39,6,1,23,0.962,22,True,match su cognome+squadra,0.93,"nome completo -- titolarita' 31%, minuti giocati 34% del possibile",20
Thijs Dallinga,Bologna,A,24,23,811,2,2,3.89,0.72,2,0,24,0.932,22,True,match su cognome+squadra,0.928,"nome completo -- titolarita' 39%, minuti giocati 24% del possibile",20
Patrick Cutrone,Monza,A,27,15,888,1,0,3.27,0.66,0,0,24,0.903,22,True,"match su cognome (squadra diversa, trasferimento presunto)",1.0,cognome ambiguo (2 candidati),22
Giovane,Napoli,A,21,12,338,0,1,0.56,0.2,0,0,25,0.873,22,True,match su cognome+squadra,0.889,"cognome + squadra -- titolarita' 17%, minuti giocati 10% del possibile",20
Loïs Openda,Juventus,A,25,24,666,1,0,3.65,0.6,0,0,23,0.902,21,True,match su cognome+squadra,0.908,"nome completo -- titolarita' 25%, minuti giocati 20% del possibile",19
Andrea Belotti,Cagliari,A,31,8,221,2,0,2.31,0.04,0,0,23,0.902,21,True,match su cognome+squadra,0.907,"nome completo -- titolarita' 38%, minuti giocati 6% del possibile",19
Havel,Genoa,A,,,,,,,,,,21,1.0,21,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,21
Sarri,Atalanta,A,,,,,,,,,,21,1.0,21,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,21
Santiago Giménez,Milan,A,24,16,892,0,1,3.79,0.55,2,0,22,0.899,20,True,match su cognome+squadra,0.962,"nome completo -- titolarita' 69%, minuti giocati 26% del possibile",19
Nesta Elphege,Parma,A,24,9,309,2,1,2.35,0.36,0,0,22,0.91,20,True,match su cognome+squadra,0.894,"nome completo -- titolarita' 22%, minuti giocati 9% del possibile",18
Ekhator,Juventus,A,,,,,,,,,,20,1.0,20,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome unico (probabile trasferimento),20
Petagna,Monza,A,,,,,,,,,,20,1.0,20,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,20
Matteo Cancellieri,Lazio,A,23,30,1725,4,2,5.22,1.92,6,0,19,0.978,19,True,match su cognome+squadra,0.99,"nome completo -- titolarita' 70%, minuti giocati 50% del possibile",19
