nome,squadra,ruolo,eta,presenze,minuti,gol,assist,xG,xA,gialli,rossi,quotazione_ufficiale,correttivo_statistico,valore_finale,analizzato,note_match,fattore_affidabilita,note_fbref,valore_v4,voto_medio_2025_26,valore_moneyball,note_moneyball
Edoardo Iannoni,Sassuolo,C,24,15,260,1,0,0.76,0,3,0,15,0.866,13,True,match su cognome+squadra,0.893,"nome completo -- titolarita' 7%, minuti giocati 8% del possibile",12,6.54,1,"cognome univoco -- 15 presenze, voto 6.54, baseline C 6.76"
Chakvetadze,Udinese,C,,,,,,,,,,13,1.0,13,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,13,,13,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Sulemana,Atalanta,C,,,,,,,,,,13,1.0,13,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome ambiguo (4 candidati),13,,13,nessun ricalcolo (cognome ambiguo (4 candidati)) -- resta il valore v4
Winks,Cagliari,C,,,,,,,,,,13,1.0,13,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,13,,13,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Kristjan Asllani,Inter,C,23,15,1129,0,0,1.16,1.13,3,0,13,0.888,12,True,"match su cognome (squadra diversa, trasferimento presunto)",0.994,"nome completo -- titolarita' 87%, minuti giocati 33% del possibile; 2.1 tackle+intercetti/90",12,6.87,1,"nome completo -- 15 presenze, voto 6.87, baseline C 6.76"
Christian Ordoñez,Parma,C,21,28,1091,1,0,0.45,0.27,5,1,14,0.881,12,True,match su cognome+squadra,0.942,"nome completo -- titolarita' 43%, minuti giocati 32% del possibile; 1.8 tackle+intercetti/90",11,6.51,1,"cognome univoco -- 28 presenze, voto 6.51, baseline C 6.76"
Ivan Ilić,Torino,C,24,8,416,0,0,0,0.72,2,0,14,0.857,12,True,match su cognome+squadra,0.956,"nome completo -- titolarita' 62%, minuti giocati 12% del possibile; 2.2 tackle+intercetti/90",11,6.64,1,"nome completo -- 8 presenze, voto 6.64, baseline C 6.76"
Bondo,Milan,C,,,,,,,,,,12,1.0,12,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome unico (probabile trasferimento),12,,12,nessun ricalcolo (cognome ambiguo (2 candidati)) -- resta il valore v4
Meichtry,Genoa,C,,,,,,,,,,12,1.0,12,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,12,,12,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Alessandro Deiola,Cagliari,C,29,20,1430,0,2,2.23,0.6,3,0,12,0.938,11,True,match su cognome+squadra,1.0,"nome completo -- titolarita' 85%, minuti giocati 42% del possibile; 2.1 tackle+intercetti/90",11,6.67,1,"cognome univoco -- 20 presenze, voto 6.67, baseline C 6.76"
Yunus Musah,Milan,C,22,19,574,1,0,0.75,0.11,1,0,13,0.876,11,True,"match su cognome (squadra diversa, trasferimento presunto)",0.975,"cognome + squadra -- titolarita' 100%, minuti giocati 3% del possibile",11,,11,nessun ricalcolo (cognome ambiguo (2 candidati)) -- resta il valore v4
Yunus Musah,Milan,C,22,1,90,0,0,0,0.63,0,0,13,0.848,11,True,match su cognome+squadra,0.899,"cognome unico (probabile trasferimento) -- titolarita' 21%, minuti giocati 17% del possibile; 1.6 tackle+intercetti/90",10,,10,nessun ricalcolo (cognome ambiguo (2 candidati)) -- resta il valore v4
Oier Zarraga,Udinese,C,26,24,475,0,0,0.6,0.13,2,0,13,0.855,11,True,match su cognome+squadra,0.917,"nome completo -- titolarita' 8%, minuti giocati 14% del possibile; 2.5 tackle+intercetti/90",10,6.54,1,"cognome univoco -- 24 presenze, voto 6.54, baseline C 6.76"
Amondarain,Bologna,C,,,,,,,,,,11,1.0,11,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,11,,11,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Amorim,Genoa,C,,,,,,,,,,11,1.0,11,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,11,,11,"nessun ricalcolo (cognome univoco, 0 presenze 2025-26) -- resta il valore v4"
Ciurria,Monza,C,,,,,,,,,,11,1.0,11,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,11,,11,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Colombo,Monza,C,,,,,,,,,,11,1.0,11,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,11,,11,nessun ricalcolo (cognome ambiguo (2 candidati)) -- resta il valore v4
Fitz-Jim,Torino,C,,,,,,,,,,11,1.0,11,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,11,,11,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Zerbin,Frosinone,C,,,,,,,,,,11,1.0,11,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome unico (probabile trasferimento),11,,11,nessun ricalcolo (cognome ambiguo (2 candidati)) -- resta il valore v4
Bennacer,Milan,C,,,,,,,,,,10,1.0,10,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,10,,10,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Duncan,Venezia,C,,,,,,,,,,10,1.0,10,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,10,,10,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Gelli,Frosinone,C,,,,,,,,,,10,1.0,10,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,10,,10,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Helgason,Venezia,C,,,,,,,,,,10,1.0,10,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome unico (probabile trasferimento),10,,10,"nessun ricalcolo (cognome univoco, 0 presenze 2025-26) -- resta il valore v4"
Sala,Lecce,C,,,,,,,,,,10,1.0,10,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome + squadra,10,,10,"nessun ricalcolo (cognome univoco, 0 presenze 2025-26) -- resta il valore v4"
Vasilije Adžić,Sassuolo,C,19,10,171,1,0,0.23,0.18,0,0,10,0.863,9,True,"match su cognome (squadra diversa, trasferimento presunto)",0.894,"nome completo -- titolarita' 10%, minuti giocati 5% del possibile",8,6.62,2,"cognome univoco -- 10 presenze, voto 6.62, baseline C 6.76"
Sandi Lovrić,Udinese,C,27,6,161,0,1,0.13,1.17,1,0,10,0.873,9,True,match su cognome+squadra,0.9,"cognome + squadra -- titolarita' 17%, minuti giocati 5% del possibile",8,,8,nessun ricalcolo (nome ambiguo (2 omonimi)) -- resta il valore v4
Faustino Anjorin,Torino,C,23,15,289,0,0,0.6,0.12,1,0,11,0.851,9,True,match su cognome+squadra,0.957,"nome completo -- titolarita' 7%, minuti giocati 8% del possibile; 3.8 tackle+intercetti/90",9,6.59,1,"cognome univoco -- 15 presenze, voto 6.59, baseline C 6.76"
Compagnon,Venezia,C,,,,,,,,,,9,1.0,9,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,9,,9,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Kone,Frosinone,C,,,,,,,,,,9,1.0,9,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,9,,9,nessun ricalcolo (cognome ambiguo (2 candidati)) -- resta il valore v4
Maleh,Lecce,C,,,,,,,,,,9,1.0,9,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome + squadra,9,,9,nessun ricalcolo (cognome ambiguo (2 candidati)) -- resta il valore v4
Billy Gilmour,Napoli,C,24,17,805,1,0,0.57,0.48,1,0,9,0.885,8,True,match su cognome+squadra,0.95,"nome completo -- titolarita' 47%, minuti giocati 24% del possibile; 2.1 tackle+intercetti/90",8,7.05,11,"cognome univoco -- 17 presenze, voto 7.05, baseline C 6.76"
Darryl Bakola,Sassuolo,C,17,6,128,0,1,0.13,0.47,0,0,9,0.867,8,True,match su cognome+squadra,0.899,"nome completo -- titolarita' 17%, minuti giocati 4% del possibile",7,6.77,2,"cognome univoco -- 6 presenze, voto 6.77, baseline C 6.76"
Ben Cremaschi,Parma,C,20,8,132,0,0,0.02,0.01,0,0,10,0.844,8,True,match su cognome+squadra,0.907,"nome completo -- titolarita' 25%, minuti giocati 4% del possibile",7,6.53,1,"cognome univoco -- 8 presenze, voto 6.53, baseline C 6.76"
Cajuste,Napoli,C,,,,,,,,,,8,1.0,8,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,8,,8,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
El Azzouzi,Bologna,C,,,,,,,,,,8,1.0,8,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,8,,8,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Ngom,Lecce,C,,,,,,,,,,8,1.0,8,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome + squadra,8,,8,"nessun ricalcolo (cognome univoco, 0 presenze 2025-26) -- resta il valore v4"
Pafundi,Udinese,C,,,,,,,,,,8,1.0,8,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,8,,8,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Akinsanmiro,Monza,C,,,,,,,,,,7,1.0,7,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome unico (probabile trasferimento),7,,7,nessun ricalcolo (cognome ambiguo (2 candidati)) -- resta il valore v4
Adrian Przyborek,Lazio,C,18,1,9,0,0,0.02,0,0,0,7,0.84,6,True,match su cognome+squadra,0.88,"nome completo -- titolarita' 0%, minuti giocati 0% del possibile",5,6.7,1,"cognome univoco -- 1 presenze, voto 6.70, baseline C 6.76"
Daniel Boloca,Sassuolo,C,26,2,135,0,0,0.1,0.04,0,0,7,0.845,6,True,match su cognome+squadra,0.976,"nome completo -- titolarita' 100%, minuti giocati 4% del possibile",6,6.45,1,"cognome univoco -- 2 presenze, voto 6.45, baseline C 6.76"
Bohinen,Venezia,C,,,,,,,,,,6,1.0,6,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,6,,6,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Dagasso,Venezia,C,,,,,,,,,,6,1.0,6,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,6,,6,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Foe-Ondoa,Monza,C,,,,,,,,,,6,1.0,6,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,6,,6,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Grosso,Frosinone,C,,,,,,,,,,6,1.0,6,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,6,,6,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Kaba,Lecce,C,,,,,,,,,,6,1.0,6,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome + squadra,6,,6,"nessun ricalcolo (cognome univoco, 0 presenze 2025-26) -- resta il valore v4"
Alessandro Romano,Cagliari,C,19,2,8,0,0,0,0,0,0,6,0.84,5,True,"match su cognome (squadra diversa, trasferimento presunto)",0.88,"nome completo -- titolarita' 0%, minuti giocati 0% del possibile",4,6.3,1,"cognome univoco -- 2 presenze, voto 6.30, baseline C 6.76"
Bjarkason,Venezia,C,,,,,,,,,,5,1.0,5,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,5,,5,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Carboni,Inter,C,,,,,,,,,,5,1.0,5,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome unico (probabile trasferimento),5,,5,nessun ricalcolo (cognome ambiguo (3 candidati)) -- resta il valore v4
Galazzi,Monza,C,,,,,,,,,,5,1.0,5,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,5,,5,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Hasa,Frosinone,C,,,,,,,,,,5,1.0,5,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome unico (probabile trasferimento),5,,5,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Lafont,Genoa,C,,,,,,,,,,5,1.0,5,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome + squadra,5,,5,"nessun ricalcolo (cognome univoco, 0 presenze 2025-26) -- resta il valore v4"
Nuamah,Sassuolo,C,,,,,,,,,,5,1.0,5,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,5,,5,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Akarakiri,Cagliari,C,,,,,,,,,,4,1.0,4,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,4,,4,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Fofana,Lecce,C,,,,,,,,,,4,1.0,4,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome + squadra,4,,4,nessun ricalcolo (cognome ambiguo (2 candidati)) -- resta il valore v4
Lella,Venezia,C,,,,,,,,,,4,1.0,4,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,4,,4,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Massolin,Inter,C,,,,,,,,,,4,1.0,4,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,4,,4,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Wiafe,Genoa,C,,,,,,,,,,4,1.0,4,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,4,,4,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Joseph Liteta,Cagliari,C,19,4,264,0,0,0,0,0,0,4,0.848,3,True,match su cognome+squadra,0.979,"nome completo -- titolarita' 100%, minuti giocati 8% del possibile",3,6.45,1,"cognome univoco -- 4 presenze, voto 6.45, baseline C 6.76"
Zeroli,Milan,C,,,,,,,,,,3,1.0,3,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,3,,3,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Cissè,Milan,C,,,,,,,,,,2,1.0,2,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,2,,2,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Farji,Venezia,C,,,,,,,,,,2,1.0,2,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,2,,2,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Lahdo,Como,C,,,,,,,,,,2,1.0,2,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome + squadra,2,,2,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Marchwinski,Lecce,C,,,,,,,,,,2,1.0,2,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome + squadra,2,,2,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Luka Topalović,Inter,C,19,1,10,0,1,0,0.16,0,0,1,0.86,1,True,match su cognome+squadra,0.88,"nome completo -- titolarita' 0%, minuti giocati 0% del possibile",1,6.6,1,"cognome univoco -- 1 presenze, voto 6.60, baseline C 6.76"
Abdoulaye Camara,Udinese,C,16,1,12,0,0,0,0.04,0,0,1,0.841,1,True,match su cognome+squadra,0.88,"nome completo -- titolarita' 0%, minuti giocati 0% del possibile",1,6.9,1,"cognome univoco -- 1 presenze, voto 6.90, baseline C 6.76"
Ballabio,Monza,C,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,1,,1,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Berardi,Venezia,C,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,1,,1,"nessun ricalcolo (cognome univoco, 0 presenze 2025-26) -- resta il valore v4"
Berenbruch,Inter,C,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome + squadra,1,,1,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Cacciamani,Torino,C,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,1,,1,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Carbone,Genoa,C,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome + squadra,1,,1,"nessun ricalcolo (cognome univoco, 0 presenze 2025-26) -- resta il valore v4"
Gorter,Lecce,C,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome + squadra,1,,1,"nessun ricalcolo (cognome univoco, 0 presenze 2025-26) -- resta il valore v4"
Kamate,Inter,C,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome + squadra,1,,1,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Kouda,Parma,C,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,1,,1,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Kovac,Lecce,C,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome + squadra,1,,1,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Luongo,Torino,C,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,1,,1,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Saco,Napoli,C,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome + squadra,1,,1,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Terrnava,Parma,C,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,1,,1,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Toci,Frosinone,C,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,1,,1,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Federico Dimarco,Inter,D,27,35,2698,7,16,7.29,15.93,3,0,43,1.35,58,True,match su cognome+squadra,1.034,"nome completo -- titolarita' 86%, minuti giocati 79% del possibile; 2.0 tackle+intercetti/90",60,7.42,89,"nome completo -- 35 presenze, voto 7.42, baseline D 6.76"
Wesley,Roma,D,21,30,2448,5,0,2.48,5.35,7,2,36,1.18,42,True,match su cognome+squadra,1.049,"nome completo -- titolarita' 93%, minuti giocati 72% del possibile; 2.3 tackle+intercetti/90",44,7.02,26,"nome completo -- 30 presenze, voto 7.02, baseline D 6.76"
Gianluca Mancini,Roma,D,29,36,3059,4,2,2.39,2.72,9,0,33,1.264,42,True,match su cognome+squadra,1.066,"nome completo -- titolarita' 100%, minuti giocati 89% del possibile; 2.2 tackle+intercetti/90",45,7.0,28,"cognome univoco -- 36 presenze, voto 7.00, baseline D 6.76"
Strahinja Pavlović,Milan,D,24,34,2869,5,1,3.91,0.72,4,0,33,1.27,42,True,match su cognome+squadra,1.018,"nome completo -- titolarita' 97%, minuti giocati 84% del possibile; 1.4 tackle+intercetti/90",43,7.05,36,"cognome univoco -- 34 presenze, voto 7.05, baseline D 6.76"
Gleison Bremer,Juventus,D,28,26,2171,4,3,2.71,0.41,5,0,34,1.175,40,True,match su cognome+squadra,1.018,"nome completo -- titolarita' 96%, minuti giocati 64% del possibile; 1.8 tackle+intercetti/90",41,7.13,34,"nome completo -- 26 presenze, voto 7.13, baseline D 6.76"
Davide Zappacosta,Atalanta,D,33,35,2569,3,3,3.23,4.51,3,0,32,1.224,39,True,match su cognome+squadra,0.983,"nome completo -- titolarita' 86%, minuti giocati 75% del possibile; 1.1 tackle+intercetti/90",38,6.86,21,"nome completo -- 35 presenze, voto 6.86, baseline D 6.76"
Pierre Kalulu,Juventus,D,25,37,3281,2,4,1.45,5.54,4,1,31,1.242,39,True,match su cognome+squadra,1.04,"nome completo -- titolarita' 100%, minuti giocati 96% del possibile; 1.6 tackle+intercetti/90",41,6.93,20,"nome completo -- 37 presenze, voto 6.93, baseline D 6.76"
Alessandro Bastoni,Inter,D,26,28,2239,1,4,1.69,3.2,6,0,35,1.108,39,True,match su cognome+squadra,1.054,"nome completo -- titolarita' 100%, minuti giocati 66% del possibile; 2.4 tackle+intercetti/90",41,7.27,28,"nome completo -- 28 presenze, voto 7.27, baseline D 6.76"
Andrea Cambiaso,Juventus,D,25,36,2769,3,4,2.9,6.85,3,1,29,1.261,37,True,match su cognome+squadra,1.04,"nome completo -- titolarita' 97%, minuti giocati 81% del possibile; 1.9 tackle+intercetti/90",38,6.91,24,"nome completo -- 36 presenze, voto 6.91, baseline D 6.76"
Oumar Solet,Udinese,D,25,35,2959,3,1,2.9,2.3,1,0,30,1.212,36,True,match su cognome+squadra,1.11,"nome completo -- titolarita' 97%, minuti giocati 86% del possibile; 3.2 tackle+intercetti/90",40,7.21,38,"cognome univoco -- 35 presenze, voto 7.21, baseline D 6.76"
Manuel Akanji,Inter,D,30,33,2821,2,0,2.3,0.33,4,0,32,1.118,36,True,match su cognome+squadra,1.04,"nome completo -- titolarita' 94%, minuti giocati 82% del possibile; 1.9 tackle+intercetti/90",37,7.15,26,"cognome univoco -- 33 presenze, voto 7.15, baseline D 6.76"
Giovanni Di Lorenzo,Napoli,D,31,26,2276,2,1,1.95,3,1,0,32,1.096,35,True,match su cognome+squadra,1.002,"nome completo -- titolarita' 100%, minuti giocati 66% del possibile; 1.4 tackle+intercetti/90",35,6.88,15,"nome completo -- 26 presenze, voto 6.88, baseline D 6.76"
Evan N'Dicka,Roma,D,25,31,2680,3,0,2.39,0.56,5,0,30,1.143,34,True,match su cognome+squadra,1.047,"cognome + squadra -- titolarita' 100%, minuti giocati 78% del possibile; 2.0 tackle+intercetti/90",36,6.97,20,"cognome univoco -- 31 presenze, voto 6.97, baseline D 6.76"
Dodô,Fiorentina,D,26,36,3134,1,2,1.38,5.39,7,0,28,1.176,33,True,match su cognome+squadra,1.026,"nome completo -- titolarita' 100%, minuti giocati 92% del possibile; 1.4 tackle+intercetti/90",34,6.98,14,"cognome univoco -- 36 presenze, voto 6.98, baseline D 6.76"
Marc-Oliver Kempf,Como,D,30,34,2326,4,1,3.28,1.1,3,0,27,1.173,32,True,match su cognome+squadra,0.964,"nome completo -- titolarita' 79%, minuti giocati 68% del possibile; 1.0 tackle+intercetti/90",31,6.98,29,"cognome univoco -- 34 presenze, voto 6.98, baseline D 6.76"
Leonardo Spinazzola,Napoli,D,32,32,1901,3,3,1.21,2.61,2,0,27,1.109,30,True,match su cognome+squadra,0.928,"nome completo -- titolarita' 69%, minuti giocati 56% del possibile; 0.7 tackle+intercetti/90",28,6.99,28,"nome completo -- 32 presenze, voto 6.99, baseline D 6.76"
Jacobo Ramón,Como,D,20,32,2742,2,0,5.47,1.03,11,1,26,1.135,30,True,match su cognome+squadra,1.056,"nome completo -- titolarita' 94%, minuti giocati 80% del possibile; 2.3 tackle+intercetti/90",32,7.18,20,"cognome univoco -- 32 presenze, voto 7.18, baseline D 6.76"
Yann Aurel Bisseck,Inter,D,24,23,1922,3,1,2.83,0.65,2,0,28,1.084,30,True,match su cognome+squadra,1.012,"nome completo -- titolarita' 91%, minuti giocati 56% del possibile; 1.9 tackle+intercetti/90",30,7.15,27,"cognome univoco -- 23 presenze, voto 7.15, baseline D 6.76"
Stones,Inter,D,,,,,,,,,,30,1.0,30,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,30,,30,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Giorgio Scalvini,Atalanta,D,21,24,1808,3,1,3.86,1.58,2,0,26,1.102,29,True,match su cognome+squadra,1.07,"nome completo -- titolarita' 96%, minuti giocati 53% del possibile; 3.0 tackle+intercetti/90",31,7.08,25,"nome completo -- 24 presenze, voto 7.08, baseline D 6.76"
Molina,Roma,D,,,,,,,,,,29,1.0,29,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,29,,29,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Mario Hermoso,Roma,D,30,27,2085,3,2,2.19,0.86,9,0,25,1.11,28,True,match su cognome+squadra,1.03,"nome completo -- titolarita' 93%, minuti giocati 61% del possibile; 2.2 tackle+intercetti/90",29,6.91,16,"cognome univoco -- 27 presenze, voto 6.91, baseline D 6.76"
Álex Valle,Como,D,21,28,2026,1,4,0.89,1.48,3,0,26,1.058,28,True,match su cognome+squadra,1.033,"nome completo -- titolarita' 82%, minuti giocati 59% del possibile; 2.4 tackle+intercetti/90",29,6.75,8,"nome completo -- 28 presenze, voto 6.75, baseline D 6.76"
Lloyd Kelly,Juventus,D,26,35,2996,1,1,0.97,1.06,4,0,24,1.106,27,True,match su cognome+squadra,1.017,"nome completo -- titolarita' 94%, minuti giocati 88% del possibile; 1.4 tackle+intercetti/90",27,7.0,16,"cognome univoco -- 35 presenze, voto 7.00, baseline D 6.76"
Robin Gosens,Fiorentina,D,31,26,1881,3,1,2.4,0.96,2,0,25,1.084,27,True,match su cognome+squadra,1.014,"nome completo -- titolarita' 92%, minuti giocati 55% del possibile; 2.0 tackle+intercetti/90",27,6.87,18,"nome completo -- 26 presenze, voto 6.87, baseline D 6.76"
Spence,Inter,D,,,,,,,,,,27,1.0,27,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,27,,27,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Juan Miranda,Bologna,D,25,32,2573,1,3,0.52,4.5,6,0,23,1.113,26,True,match su cognome+squadra,1.045,"nome completo -- titolarita' 91%, minuti giocati 75% del possibile; 2.2 tackle+intercetti/90",27,6.98,15,"nome completo -- 32 presenze, voto 6.98, baseline D 6.76"
