nome,squadra,ruolo,posizione_raw,nazionalita,eta,presenze,titolarita,minuti,gol,assist,xG,xA,gialli,rossi,punteggio,valore_crediti,quotato,ha_dati_avanzati,dati_incompleti
Lorenzo Bernasconi,Atalanta,C,MF,ITA,21,23,17,1572,0,3,0.42,3.15,3,0,14.183333333333332,9,True,True,False
Remo Freuler,Bologna,C,MF,SUI,33,29,26,2213,1,2,1.68,1.34,5,0,15.21377777777778,9,True,True,False
Valentino Lazaro,Torino,C,MF,AUT,29,31,26,2252,0,2,0.42,3.7,4,0,14.769444444444444,9,True,True,False
Luis Henrique,Inter,C,MF,BRA,23,30,18,1624,1,2,1.15,2.19,1,0,13.792388888888889,8,True,True,False
Stanislav Lobotka,Napoli,C,MF,SVK,30,32,29,2431,1,1,0.41,1.06,3,0,12.713722222222225,8,True,True,False
Assane Diao,Como,C,MF,SEN,19,17,13,1075,2,1,3.18,1.68,2,0,12.845888888888888,8,True,True,False
Jeremie Boga,Juventus,C,MFFW,CIV,28,15,6,679,4,0,4.13,1.67,1,0,13.54938888888889,8,True,True,False
Lazar Samardzic,Atalanta,C,MF,SRB,23,26,11,1030,2,1,2.78,2.38,1,0,12.955888888888891,8,True,True,False
Kamaldeen Sulemana,Atalanta,C,MF,GHA,23,25,9,1011,2,1,2.49,2.28,4,0,12.326166666666666,8,True,True,False
Giacomo Raspadori,Atalanta,C,MFFW,ITA,25,13,7,796,3,1,3.49,1.2,0,0,13.376388888888888,8,True,True,False
Tommaso Pobega,Bologna,C,MF,ITA,26,26,17,1434,3,1,1.84,0.55,2,1,12.691666666666665,8,True,True,False
Jesper Karlström,Udinese,C,MF,SWE,30,36,36,3146,1,0,0.94,0.9,6,0,12.896111111111113,8,True,True,False
Hassane Kamara,Udinese,C,MFDF,CIV,31,26,22,1861,0,2,0.89,2.51,5,0,12.822055555555554,8,True,True,False
Jakub Piotrowski,Udinese,C,MF,POL,27,33,20,1696,1,1,3.21,0.78,2,0,12.248388888888888,8,True,True,False
Mandela Keita,Parma,C,MF,BEL,23,37,36,2979,1,1,0.48,0.28,1,0,13.922,8,True,True,False
Rafel Obrador,Torino,C,MF,ESP,21,16,14,1116,1,3,0.17,1.06,1,0,12.691500000000001,8,True,True,False
Michael Folorunsho,Cagliari,C,MFFW,ITA,27,27,24,1999,2,0,2.95,0.94,3,0,12.800722222222223,8,True,True,False
Cher Ndour,Fiorentina,C,MF,ITA,21,33,20,1876,3,0,2.61,0.35,2,0,13.211388888888887,8,True,True,False
Carlos Augusto,Inter,C,MFDF,BRA,26,34,18,1763,1,1,1.96,1.14,6,0,11.463777777777777,7,True,True,False
Miguel Gutiérrez,Napoli,C,MFDF,ESP,24,28,15,1488,1,1,0.57,1.78,0,0,10.386166666666666,7,True,True,False
Alisson Santos,Napoli,C,MFFW,BRA,22,14,9,834,4,0,1.51,1.61,1,0,12.114833333333333,7,True,True,False
Neil El Aynaoui,Roma,C,MF,MAR,24,25,8,999,1,2,0.96,1.77,5,0,10.923000000000002,7,True,True,False
Stephan El Shaarawy,Roma,C,MFFW,ITA,32,20,5,666,1,2,2.02,1.75,4,0,10.76,7,True,True,False
Zachary Athekame,Milan,C,MFDF,SUI,20,27,7,833,2,2,0.38,1.56,3,0,11.680111111111112,7,True,True,False
Nikola Moro,Bologna,C,MF,CRO,27,30,19,1799,2,0,0.93,2.05,1,0,11.520277777777778,7,True,True,False
Mattéo Guendouzi,Lazio,C,MF,FRA,26,16,16,1428,2,1,1.22,1.02,5,1,10.686333333333334,7,True,True,False
Kingsley Ehizibue,Udinese,C,MFDF,NED,30,32,20,1811,2,0,1.43,0.69,5,0,10.617944444444445,7,True,True,False
Alessandro Zanoli,Udinese,C,MF,ITA,24,19,16,1280,1,2,0.1,1.55,1,0,11.504444444444443,7,True,True,False
Nemanja Matić,Sassuolo,C,MF,SRB,36,34,31,2660,1,1,0.33,0.92,7,1,12.036611111111112,7,True,True,False
Sascha Britschgi,Parma,C,MFDF,SUI,18,29,22,2095,0,2,0.41,2.03,7,1,11.470055555555556,7,True,True,False
Oliver Jensen,Parma,C,MF,DEN,23,34,19,1840,1,1,2.05,0.74,2,0,11.582388888888888,7,True,True,False
Hans Nicolussi Caviglia,Parma,C,MF,ITA,25,15,10,869,0,3,0.73,0.82,0,0,10.316611111111111,7,True,True,False
Gvidas Gineitis,Torino,C,MF,LTU,21,29,23,1756,0,1,0.94,2.68,5,0,10.759222222222224,7,True,True,False
Emirhan İlkhan,Torino,C,MF,TUR,21,19,13,1001,1,2,2.36,1.22,2,1,11.002444444444444,7,True,True,False
Alessandro Deiola,Cagliari,C,MFDF,ITA,29,20,17,1430,0,2,2.23,0.6,3,0,10.830277777777779,7,True,True,False
Luca Mazzitelli,Cagliari,C,MF,ITA,29,18,9,767,2,2,0.71,1.07,3,0,11.499944444444445,7,True,True,False
Fabiano Parisi,Fiorentina,C,MFFW,ITA,24,23,18,1520,1,1,1.3,1.92,6,0,11.130777777777777,7,True,True,False
Antonio Vergara,Napoli,C,MF,ITA,22,12,8,612,1,2,0.71,0.84,2,0,9.1585,6,True,True,False
Jayden Addai,Como,C,MF,NED,19,12,7,686,3,0,1.51,1.02,4,0,9.224944444444443,6,True,True,False
Fabio Miretti,Juventus,C,MF,ITA,21,23,5,617,1,2,1.63,1.25,1,0,10.028611111111111,6,True,True,False
Filip Kostić,Juventus,C,MF,SRB,32,18,4,479,3,1,0.67,0.68,1,0,9.808944444444444,6,True,True,False
Benjamín Domínguez,Bologna,C,MF,ARG,21,15,6,547,0,3,0.65,0.26,1,0,8.677055555555555,6,True,True,False
Marco Brescianini,Fiorentina,C,MF,ITA,25,17,10,862,1,1,2.15,1.14,1,0,9.164055555555557,6,True,True,False
Nicolas-Gerrit Kühn,Como,C,MF,GER,25,23,6,665,1,1,0.9,1.44,0,0,7.778777777777778,5,True,True,False
Pervis Estupiñán,Milan,C,MF,ECU,27,19,13,1034,1,1,0.48,1.58,5,1,7.769777777777779,5,True,True,False
Teun Koopmeiners,Juventus,C,MFDF,NED,27,33,18,1827,0,0,1.79,0.73,5,0,7.299500000000001,5,True,True,False
Raoul Bellanova,Atalanta,C,MF,ITA,25,24,15,1377,0,1,0.5,1.94,2,0,8.401,5,True,True,False
Lewis Ferguson,Bologna,C,MF,SCO,25,27,17,1601,1,0,0.65,1.57,7,1,7.288277777777776,5,True,True,False
Giovanni Fabbian,Bologna,C,MF,ITA,22,14,8,705,2,0,1.95,0.95,0,0,8.024166666666666,5,True,True,False
Fisayo Dele-Bashiru,Lazio,C,MF,NGA,24,24,11,1187,1,0,0.59,1.12,0,0,6.718277777777778,5,True,True,False
Jordan Zemura,Udinese,C,MFDF,ZIM,25,17,13,1127,0,1,0.33,1.27,3,0,6.914944444444444,5,True,True,False
Lennon Miller,Udinese,C,MF,SCO,18,24,9,996,0,2,0.31,1.35,4,0,8.420833333333334,5,True,True,False
Luca Lipani,Sassuolo,C,MF,ITA,20,24,10,1034,0,1,0.92,1.11,3,0,6.766777777777778,5,True,True,False
Matteo Prati,Cagliari,C,MF,ITA,21,20,15,1268,1,0,1.2,1.44,4,0,7.803777777777778,5,True,True,False
Andy Diouf,Inter,C,MF,FRA,22,19,4,493,1,0,0.94,1.75,1,0,5.405555555555556,4,True,True,False
Billy Gilmour,Napoli,C,MF,SCO,24,17,8,805,1,0,0.57,0.48,1,0,4.998388888888889,4,True,True,False
Ardon Jashari,Milan,C,MF,SUI,23,14,7,701,0,1,0.24,1.13,0,0,5.414777777777779,4,True,True,False
Reda Belahyane,Lazio,C,MF,MAR,21,13,5,609,0,2,0.21,1.13,1,1,6.087833333333333,4,True,True,False
Nahuel Estévez,Parma,C,MF,ARG,29,32,9,1049,0,1,0.63,1.1,2,0,6.533611111111111,4,True,True,False
Pontus Almqvist,Parma,C,MF,SWE,26,13,4,457,0,1,0.34,1.82,0,0,5.328555555555556,4,True,True,False
Kristjan Asllani,Torino,C,MF,ALB,23,15,13,1129,0,0,1.16,1.13,3,0,5.315888888888889,4,True,True,False
Ibrahim Sulemana,Cagliari,C,MF,GHA,22,16,7,860,1,0,1.69,0.14,2,0,5.534611111111111,4,True,True,False
Riyad Idrissi,Cagliari,C,MFDF,ITA,20,23,4,783,2,0,0.79,0.25,3,0,6.2575,4,True,True,False
Simon Sohm,Fiorentina,C,MF,SUI,24,16,9,708,0,1,0.18,1.74,2,0,6.014333333333333,4,True,True,False
Davide Frattesi,Inter,C,MF,ITA,25,22,3,569,0,0,2.29,0.6,0,0,3.7619444444444445,3,True,True,False
