nome,squadra,ruolo,posizione_raw,nazionalita,eta,presenze,titolarita,minuti,gol,assist,xG,xA,gialli,rossi,punteggio,valore_crediti,quotato,ha_dati_avanzati,dati_incompleti
Matteo Lavelli,Inter,A,FW,ITA,18,1,0,8,0,0,0,0,0,0,0.013333333333333334,1,False,True,False
Lorenzo Lucca,Napoli,A,FW,ITA,24,16,4,408,1,0,1.91,0.66,1,0,6.318,1,False,True,False
Romelu Lukaku,Napoli,A,FW,BEL,32,5,0,44,1,0,0.59,0.21,1,0,3.6573333333333333,1,False,True,False
Giuseppe Ambrosino,Napoli,A,FW,ITA,21,3,0,38,0,0,0,0,0,0,0.06333333333333332,1,False,True,False
Artem Dovbyk,Roma,A,FW,UKR,28,14,3,393,3,1,3.1,1.29,0,0,15.098999999999997,1,False,True,False
Tommaso Baldanzi,Roma,A,FWMF,ITA,22,10,3,386,1,0,1.35,0.41,2,0,5.359333333333334,1,False,True,False
Leon Bailey,Roma,A,FW,JAM,27,7,1,186,0,0,0.13,0.06,0,0,0.552,1,False,True,False
Robinio Vaz,Roma,A,FW,FRA,18,12,0,216,1,0,0.66,0,0,0,3.9519999999999995,1,False,True,False
Antonio Arena,Roma,A,FW,ITA,16,2,0,23,0,0,0.18,0,0,0,0.2543333333333333,1,False,True,False
Samuel Chukwueze,Milan,A,FWMF,NGA,26,1,0,26,0,0,0,0,0,0,0.04333333333333333,1,False,True,False
Cheveyo Muy,Milan,A,FW,NED,18,2,0,5,0,0,0.08,0,0,0,0.10433333333333333,1,False,True,False
Arkadiusz Milik,Juventus,A,FW,POL,31,2,0,36,0,0,0.26,0,0,0,0.372,1,False,True,False
Nicolás González,Juventus,A,FWMF,ARG,27,2,0,19,0,0,0.08,0.04,0,0,0.15166666666666667,1,False,True,False
Dominic Vavassori,Atalanta,A,FW,ITA,19,1,0,10,0,0,0,0,0,0,0.016666666666666666,1,False,True,False
Ciro Immobile,Bologna,A,FW,ITA,35,6,2,193,0,0,0.06,0.06,1,0,0.47966666666666663,1,False,True,False
Petar Ratkov,Lazio,A,FW,SRB,21,8,2,233,0,0,0.53,0.02,0,0,1.1363333333333334,1,False,True,False
Iker Bravo,Udinese,A,FW,ESP,20,8,3,206,1,0,0.46,0.22,1,0,3.9273333333333333,1,False,True,False
Idrissa Guèye,Udinese,A,FW,SEN,18,19,1,421,1,0,2.26,0.16,2,0,6.259666666666667,1,False,True,False
Walid Cheddira,Sassuolo,A,FW,MAR,27,16,1,221,1,0,0.78,0.09,1,0,4.158333333333333,1,False,True,False
Luca Moro,Sassuolo,A,FW,ITA,24,14,1,211,0,0,0.83,0.26,1,0,1.5036666666666667,1,False,True,False
Nicholas Pierini,Sassuolo,A,FWMF,ITA,26,11,0,142,0,0,0.33,0.12,1,0,0.6546666666666666,1,False,True,False
Laurs Skjellerup,Sassuolo,A,FW,DEN,22,1,0,10,0,0,0.02,0,0,0,0.04066666666666667,1,False,True,False
Nesta Elphege,Parma,A,FW,FRA,24,9,2,309,2,1,2.35,0.36,0,0,10.651,1,False,True,False
Daniel Mikołajewski,Parma,A,FW,POL,19,3,1,70,0,0,0.43,0,0,0,0.6826666666666668,1,False,True,False
Milan Đurić,Parma,A,FW,BIH,35,12,0,74,0,0,0.11,0.09,0,0,0.30933333333333335,1,False,True,False
Alessandro Cardinali,Parma,A,FW,ITA,19,1,0,45,0,0,0,0,0,0,0.075,1,False,True,False
Sandro Kulenović,Torino,A,FW,CRO,25,13,3,300,0,1,0.85,0.34,2,0,3.1739999999999995,1,False,True,False
Paul Mendy,Cagliari,A,FW,SEN,18,9,3,335,2,0,2.39,0.26,1,0,9.282333333333334,1,False,True,False
Andrea Belotti,Cagliari,A,FW,ITA,31,8,3,221,2,0,2.31,0.04,0,0,8.914333333333333,1,False,True,False
Leonardo Pavoletti,Cagliari,A,FW,ITA,36,13,1,227,1,1,1.37,0.36,1,0,6.438333333333333,1,False,True,False
Yael Trepy,Cagliari,A,FW,,,8,0,91,1,0,0.6,0.15,0,0,3.7616666666666663,1,False,True,True
Agustín Albarracín,Cagliari,A,FW,URU,19,2,0,33,0,0,0,0,0,0,0.05499999999999999,1,False,True,False
Edin Džeko,Fiorentina,A,FW,BIH,39,11,2,244,0,0,0.26,0.17,1,0,0.8706666666666666,1,False,True,False
Riccardo Braschi,Fiorentina,A,FW,ITA,18,2,1,105,0,0,0.15,0,0,0,0.40499999999999997,1,False,True,False
Christian Kouamé,Fiorentina,A,FWMF,CIV,27,2,0,27,0,0,0,0,0,0,0.045,1,False,True,False
Giorgio Puzzoli,Fiorentina,A,FW,ITA,19,0,0,0,0,0,,,0,0,0.0,1,False,False,True
Federico Dimarco,Inter,C,MF,ITA,27,35,30,2698,7,16,7.29,15.93,3,0,73.93005555555555,35,True,True,False
Nicolás Paz,Como,C,MF,ARG,20,35,33,2878,12,6,8.9,7.03,5,0,55.43755555555555,27,True,True,False
Kenan Yıldız,Juventus,C,MFFW,TUR,20,36,33,2825,10,6,8.63,10.82,2,0,55.148277777777786,27,True,True,False
Scott McTominay,Napoli,C,MF,SCO,28,33,31,2791,10,3,12.43,2.01,1,0,43.57372222222222,22,True,True,False
Nicolò Barella,Inter,C,MF,ITA,28,34,31,2517,3,8,3.82,7.97,7,0,39.88133333333332,21,True,True,False
Lucas Da Cunha,Como,C,MF,FRA,24,36,31,2739,6,4,6.93,6.02,4,0,37.92216666666666,20,True,True,False
Weston McKennie,Juventus,C,MF,USA,26,36,32,2835,5,5,8.64,5.39,5,0,39.241,20,True,True,False
Nikola Vlašić,Torino,C,MFFW,CRO,27,37,36,3043,8,3,7.41,4.68,7,0,39.43172222222222,20,True,True,False
Hakan Çalhanoğlu,Inter,C,MF,TUR,31,22,20,1639,9,4,5.15,3.48,7,0,36.106722222222224,19,True,True,False
Matías Soulé,Roma,C,MFFW,ARG,22,33,28,2139,6,5,4.68,4.46,1,0,35.477333333333334,19,True,True,False
Jesus Rodríguez,Como,C,MF,ESP,19,31,18,1731,2,9,3.92,6.97,3,1,35.779666666666664,19,True,True,False
Charles De Ketelaere,Atalanta,C,MFFW,BEL,24,31,26,2177,3,5,4.55,10.65,4,0,35.505277777777785,19,True,True,False
Riccardo Orsolini,Bologna,C,MFFW,ITA,28,35,26,2111,10,1,10.89,1.71,2,0,35.997611111111105,19,True,True,False
Paulo Dybala,Roma,C,MFFW,ARG,31,22,15,1354,2,6,6.29,6.36,0,0,30.75038888888889,17,True,True,False
Adrien Rabiot,Milan,C,MF,FRA,30,29,28,2550,6,4,4.36,3.94,6,1,32.382666666666665,17,True,True,False
Francisco Conceição,Juventus,C,MFFW,POR,22,31,27,2078,3,5,8.49,4.16,3,0,32.51927777777778,17,True,True,False
Rolando Mandragora,Fiorentina,C,MF,ITA,28,34,30,2421,7,3,4.7,2.88,7,0,32.166999999999994,17,True,True,False
Martin Baturina,Como,C,MFFW,CRO,22,29,17,1569,6,3,1.9,6.7,0,0,29.101666666666663,16,True,True,False
Andrea Cambiaso,Juventus,C,MFDF,ITA,25,36,35,2769,3,4,2.9,6.85,3,1,29.823333333333327,16,True,True,False
Arthur Atta,Udinese,C,MF,FRA,22,32,29,2557,5,3,4.23,3.25,3,0,29.029722222222222,16,True,True,False
Kristian Thorstvedt,Sassuolo,C,MF,NOR,26,32,27,2460,4,4,6.64,2.63,9,0,30.01366666666667,16,True,True,False
Piotr Zieliński,Inter,C,MF,POL,31,34,22,2045,6,3,2.1,4.24,3,0,28.37544444444444,15,True,True,False
Matteo Politano,Napoli,C,MFFW,ITA,31,34,26,2200,2,5,3.13,5.6,4,0,28.196388888888887,15,True,True,False
Alexis Saelemaekers,Milan,C,MF,BEL,26,35,33,2788,3,3,3.6,4.79,5,0,27.19655555555556,15,True,True,False
Mario Pašalić,Atalanta,C,MF,CRO,30,33,21,1936,3,4,3.45,6.25,3,0,27.72472222222222,15,True,True,False
Jurgen Ekkelenkamp,Udinese,C,MF,NED,25,31,27,2186,5,3,4.73,2.56,1,0,27.879277777777776,15,True,True,False
Máximo Perrone,Como,C,MF,ARG,22,36,33,2742,3,4,2.49,2.54,8,0,26.216833333333334,14,True,True,False
Maxence Caqueret,Como,C,MF,FRA,25,30,17,1485,2,6,1.74,2.78,3,0,24.446999999999996,14,True,True,False
Khéphren Thuram,Juventus,C,MF,FRA,24,35,30,2442,3,3,4.06,2.65,2,0,24.726666666666663,14,True,True,False
Davide Zappacosta,Atalanta,C,MF,ITA,33,35,30,2569,3,3,3.23,4.51,3,0,26.020388888888885,14,True,True,False
Nicola Zalewski,Atalanta,C,MF,POL,23,33,24,1897,2,4,3.14,5.14,3,0,24.896555555555555,14,True,True,False
Marco Palestra,Cagliari,C,MFDF,ITA,20,37,34,3081,1,4,1.65,4.4,3,0,24.794166666666666,14,True,True,False
Kevin De Bruyne,Napoli,C,MF,BEL,34,18,13,1165,5,2,3.52,4.02,1,0,22.796888888888887,13,True,True,False
Lorenzo Pellegrini,Roma,C,MF,ITA,29,24,20,1463,4,2,4.78,3,2,0,22.256111111111114,13,True,True,False
Luka Modrić,Milan,C,MF,CRO,39,34,32,2811,2,3,1.25,4.03,4,0,23.011166666666664,13,True,True,False
Youssouf Fofana,Milan,C,MF,FRA,26,33,28,2203,2,3,4.59,3.64,4,0,23.49405555555556,13,True,True,False
Nicolò Cambiaghi,Bologna,C,MFFW,ITA,24,28,17,1518,3,4,2.92,3.03,3,1,22.18033333333333,13,True,True,False
Ismaël Koné,Sassuolo,C,MF,CAN,23,35,33,2737,6,0,5.08,1.76,5,1,23.41622222222222,13,True,True,False
Nicolò Fagioli,Fiorentina,C,MF,ITA,24,33,30,2554,2,3,1.9,5.22,5,0,23.798555555555552,13,True,True,False
Henrikh Mkhitaryan,Inter,C,MF,ARM,36,30,16,1560,4,1,6.04,3.31,5,0,21.155666666666672,12,True,True,False
Leonardo Spinazzola,Napoli,C,MFDF,ITA,32,32,22,1901,3,3,1.21,2.61,2,0,20.710944444444447,12,True,True,False
Manu Koné,Roma,C,MF,FRA,24,29,28,2456,2,3,1.94,3.5,2,0,22.022777777777776,12,True,True,False
Wesley,Roma,C,MFDF,BRA,21,30,28,2448,5,0,2.48,5.35,7,2,20.824999999999996,12,True,True,False
Manuel Locatelli,Juventus,C,MF,ITA,27,36,36,2994,1,2,2.42,3.83,9,0,20.38533333333333,12,True,True,False
Jonathan Rowe,Bologna,C,MFFW,ENG,22,28,17,1605,3,2,4.98,2.7,2,0,20.461666666666666,12,True,True,False
Federico Bernardeschi,Bologna,C,MFFW,ITA,31,29,12,1217,4,2,3.18,3.57,3,0,20.342444444444443,12,True,True,False
Danilo Cataldi,Lazio,C,MF,ITA,30,27,24,1985,3,3,2.71,2.05,6,0,21.51861111111111,12,True,True,False
Adrian Bernabe,Parma,C,MF,ESP,24,32,31,2470,3,1,2.62,4.64,0,0,21.459888888888887,12,True,True,False
Cesare Casadei,Torino,C,MF,ITA,22,33,19,1997,6,0,4.65,1.81,5,0,21.374277777777774,12,True,True,False
Gianluca Gaetano,Cagliari,C,MFFW,ITA,25,33,21,1912,2,4,2,2.21,4,0,21.157888888888888,12,True,True,False
Petar Sučić,Inter,C,MF,CRO,21,34,21,1765,2,2,2.18,4.04,5,0,18.37322222222222,11,True,True,False
Bryan Cristante,Roma,C,MF,ITA,30,37,36,3094,2,1,2.35,2.28,6,0,18.93005555555556,11,True,True,False
Niccolò Pisilli,Roma,C,MF,ITA,20,25,13,1295,2,4,2.27,2.22,3,0,19.398277777777775,11,True,True,False
Éderson Silva,Atalanta,C,MF,BRA,26,30,26,2230,2,1,5.55,2.21,3,0,18.667055555555553,11,True,True,False
Michel Ndary Adopo,Cagliari,C,MF,FRA,25,38,33,3050,1,2,2.53,2.44,4,0,19.301277777777777,11,True,True,False
Elif Elmas,Napoli,C,MFFW,MKD,25,33,20,1783,1,3,3.64,1.75,3,0,17.79722222222222,10,True,True,False
Frank Anguissa,Napoli,C,MF,CMR,29,18,14,1258,4,1,2.55,1.55,1,0,16.283055555555556,10,True,True,False
Zeki Çelik,Roma,C,MFDF,TUR,28,34,32,2723,1,2,1.77,2.41,2,1,16.97761111111111,10,True,True,False
Devyne Rensch,Roma,C,MFDF,NED,22,24,12,1184,1,4,0.57,2.72,1,0,16.576611111111113,10,True,True,False
Mërgim Vojvoda,Como,C,MFDF,KVX,30,30,19,1591,2,2,1.47,3.09,2,0,16.55905555555556,10,True,True,False
Samuele Ricci,Milan,C,MF,ITA,23,31,11,1312,1,4,2.11,2.78,3,0,17.91005555555555,10,True,True,False
Jens Odgaard,Bologna,C,MF,DEN,26,26,16,1378,5,1,2.73,0.94,1,0,18.045722222222224,10,True,True,False
Toma Bašić,Lazio,C,MF,CRO,28,23,23,1735,2,3,1.31,2.41,0,1,17.647055555555553,10,True,True,False
Kenneth Taylor,Lazio,C,MF,NED,23,17,17,1394,3,2,2.09,1.08,5,0,16.24727777777778,10,True,True,False
Emanuele Valeri,Parma,C,MFDF,ITA,26,34,29,2643,0,2,0.67,3.78,2,0,16.217833333333335,10,True,True,False
Marcus Pedersen,Torino,C,MFDF,NOR,25,29,23,2134,1,2,1.62,2.89,3,0,16.22822222222222,10,True,True,False
Denzel Dumfries,Inter,C,MF,NED,29,20,15,1325,3,1,3.65,1.41,2,0,15.420944444444443,9,True,True,False
Davide Bartesaghi,Milan,C,MFDF,ITA,19,31,27,2441,2,0,1.37,3.91,3,0,15.510944444444446,9,True,True,False
Ruben Loftus-Cheek,Milan,C,MFFW,ENG,29,28,12,1133,3,1,4.14,1.04,2,0,14.788777777777776,9,True,True,False
Marten de Roon,Atalanta,C,MF,NED,34,34,32,2691,1,2,0.82,1.59,8,1,15.215999999999998,9,True,True,False
