nome,squadra,ruolo,eta,presenze,minuti,gol,assist,xG,xA,gialli,rossi,quotazione_ufficiale,correttivo_statistico,valore_finale,analizzato,note_match
Álvaro Morata,Como,A,32,26,930,0,1,4.91,0.78,4,1,18,0.9,16,True,match su cognome+squadra
Jacob Ondrejka,Parma,A,22,16,773,0,0,1.42,0.43,2,0,18,0.877,16,True,match su cognome+squadra
Benjamín Domínguez,Sassuolo,A,21,15,547,0,3,0.65,0.26,1,0,18,0.89,16,True,"match su cognome (squadra diversa, trasferimento presunto)"
Zakaria Aboukhlal,Torino,A,25,15,511,0,0,0.41,0.6,4,0,18,0.869,16,True,match su cognome+squadra
Geubbels,Lecce,A,,,,,,,,,,16,1.0,16,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Nicolás González,Juventus,A,27,2,19,0,0,0.08,0.04,0,0,18,0.861,15,True,match su cognome+squadra
Sandro Kulenović,Torino,A,25,13,300,0,1,0.85,0.34,2,0,17,0.875,15,True,match su cognome+squadra
Cuesta,Parma,A,,,,,,,,,,15,1.0,15,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Varela,Monza,A,,,,,,,,,,14,1.0,14,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Pisacane,Cagliari,A,,,,,,,,,,14,1.0,14,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Vakoun Bayo,Udinese,A,28,15,453,0,2,1.33,0.73,0,0,15,0.887,13,True,match su cognome+squadra
Iker Bravo,Udinese,A,20,8,206,1,0,0.46,0.22,1,0,15,0.879,13,True,match su cognome+squadra
Idrissa Guèye,Udinese,A,18,19,421,1,0,2.26,0.16,2,0,15,0.89,13,True,match su cognome+squadra
Pontus Almqvist,Parma,A,26,13,457,0,1,0.34,1.82,0,0,15,0.878,13,True,match su cognome+squadra
Álvarez,Sassuolo,A,,,,,,,,,,13,1.0,13,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Touré,Parma,A,,,,,,,,,,13,1.0,13,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Juric,Monza,A,,,,,,,,,,13,1.0,13,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Baldé,Monza,A,,,,,,,,,,12,1.0,12,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Casas,Venezia,A,,,,,,,,,,12,1.0,12,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Stroppa,Venezia,A,,,,,,,,,,12,1.0,12,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
