nome,squadra,ruolo,eta,presenze,minuti,gol,assist,xG,xA,gialli,rossi,quotazione_ufficiale,correttivo_statistico,valore_finale,analizzato,note_match
Norton-Cuffy,Genoa,D,,,,,,,,,,19,1.0,19,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Lorenzo Bernasconi,Atalanta,D,21,23,1572,0,3,0.42,3.15,3,0,19,0.962,18,True,match su cognome+squadra
Miguel Gutiérrez,Napoli,D,24,28,1488,1,1,0.57,1.78,0,0,19,0.946,18,True,match su cognome+squadra
Saúl Coco,Torino,D,26,35,3088,1,1,1.16,0.76,3,0,16,1.12,18,True,match su cognome+squadra
Marin Pongračić,Fiorentina,D,27,35,2918,0,0,0.59,0.69,12,0,17,1.035,18,True,match su cognome+squadra
Federico Gatti,Juventus,D,27,21,1093,2,0,1.96,0.21,3,0,19,0.93,18,True,match su cognome+squadra
Pietro Comuzzo,Torino,D,20,27,1696,1,0,0.81,0.04,2,0,19,0.942,18,True,"match su cognome (squadra diversa, trasferimento presunto)"
Doekhi,Lazio,D,,,,,,,,,,18,1.0,18,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Gabriel,Lecce,D,,,,,,,,,,18,1.0,18,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Martin,Genoa,D,,,,,,,,,,18,1.0,18,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Devyne Rensch,Roma,D,22,24,1184,1,4,0.57,2.72,1,0,18,0.97,17,True,match su cognome+squadra
Mërgim Vojvoda,Udinese,D,30,30,1591,2,2,1.47,3.09,2,0,16,1.034,17,True,"match su cognome (squadra diversa, trasferimento presunto)"
Christian Kabasele,Udinese,D,34,30,2247,3,0,1.67,0.06,5,1,16,1.068,17,True,match su cognome+squadra
Sam Beukema,Napoli,D,26,24,1681,2,0,1.73,0.39,2,0,17,0.99,17,True,match su cognome+squadra
Nadir Zortea,Bologna,D,26,32,1819,0,2,0.42,2.86,2,0,18,0.962,17,True,match su cognome+squadra
Ivan Smolčić,Como,D,24,28,1662,0,1,1.13,1.46,8,0,18,0.935,17,True,match su cognome+squadra
Ardian Ismajli,Torino,D,28,25,1906,0,1,0.75,0.54,5,0,18,0.95,17,True,match su cognome+squadra
Pedraza,Lazio,D,,,,,,,,,,17,1.0,17,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Rafel Obrador,Sassuolo,D,21,16,1116,1,3,0.17,1.06,1,0,17,0.935,16,True,"match su cognome (squadra diversa, trasferimento presunto)"
Emil Holm,Bologna,D,25,7,230,0,0,0.3,0.23,0,0,21,0.75,16,True,"match su cognome (squadra diversa, trasferimento presunto)"
Adam Obert,Cagliari,D,22,35,2771,0,3,1.36,3.71,10,1,15,1.089,16,True,match su cognome+squadra
Sebastian Walukiewicz,Sassuolo,D,25,34,2852,0,1,0.18,2.05,7,0,15,1.055,16,True,match su cognome+squadra
Gabriele Zappa,Cagliari,D,25,31,1597,0,3,1.13,2.11,2,0,16,0.97,16,True,match su cognome+squadra
Álex Jiménez,Fiorentina,D,20,1,45,0,0,0,0.14,1,0,21,0.75,16,True,"match su cognome (squadra diversa, trasferimento presunto)"
Valdepeñas,Fiorentina,D,,,,,,,,,,16,1.0,16,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Mathías Olivera,Napoli,D,27,25,1370,0,0,1.79,0.6,3,0,17,0.893,15,True,match su cognome+squadra
Benjamin Pavard,Inter,D,29,1,90,0,0,0.05,0.03,0,0,20,0.75,15,True,match su cognome+squadra
Aurelio,Cagliari,D,,,,,,,,,,15,1.0,15,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Koulierakis,Roma,D,,,,,,,,,,15,1.0,15,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Marcandalli,Genoa,D,,,,,,,,,,15,1.0,15,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Provstgaard,Lazio,D,,,,,,,,,,15,1.0,15,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Terzic,Frosinone,D,,,,,,,,,,15,1.0,15,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Veiga,Lecce,D,,,,,,,,,,15,1.0,15,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Hassane Kamara,Udinese,D,31,26,1861,0,2,0.89,2.51,5,0,14,0.981,14,True,match su cognome+squadra
Zachary Athekame,Milan,D,20,27,833,2,2,0.38,1.56,3,0,15,0.918,14,True,match su cognome+squadra
Alessandro Circati,Parma,D,21,31,2664,1,0,0.74,0.25,6,0,13,1.048,14,True,match su cognome+squadra
Koni De Winter,Milan,D,23,26,1800,1,1,0.8,0.65,1,0,14,0.975,14,True,match su cognome+squadra
Nuno Tavares,Lazio,D,25,23,1473,0,0,1.13,1.18,5,0,16,0.899,14,True,match su cognome+squadra
Cuenca,Como,D,,,,,,,,,,14,1.0,14,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Kaiki,Como,D,,,,,,,,,,14,1.0,14,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Mario,Fiorentina,D,,,,,,,,,,14,1.0,14,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Sabelli,Genoa,D,,,,,,,,,,14,1.0,14,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Viery,Fiorentina,D,,,,,,,,,,14,1.0,14,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Zé Pedro,Cagliari,D,,,,,,,,,,14,1.0,14,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Juan David Cabal,Juventus,D,24,12,296,2,0,1.08,0.64,1,0,15,0.835,13,True,match su cognome+squadra
Odilon Kossounou,Atalanta,D,24,19,988,1,0,0.26,0.26,1,0,15,0.861,13,True,match su cognome+squadra
Daniele Ghilardi,Roma,D,22,23,1097,0,0,0.56,0.42,1,0,16,0.839,13,True,match su cognome+squadra
Missori,Sassuolo,D,,,,,,,,,,13,1.0,13,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Jordan Zemura,Udinese,D,25,17,1127,0,1,0.33,1.27,3,0,14,0.869,12,True,match su cognome+squadra
Mariano Troilo,Parma,D,22,21,1625,1,0,0.98,0.66,8,2,13,0.9,12,True,match su cognome+squadra
Honest Ahanor,Atalanta,D,17,22,1377,0,0,2.38,0.12,2,1,14,0.88,12,True,match su cognome+squadra
Ignace Van Der Brempt,Como,D,23,20,931,0,1,0.16,0.82,2,0,14,0.844,12,True,match su cognome+squadra
Birindelli,Monza,D,,,,,,,,,,12,1.0,12,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Calvani,Frosinone,D,,,,,,,,,,12,1.0,12,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Correia,Venezia,D,,,,,,,,,,12,1.0,12,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Haps,Venezia,D,,,,,,,,,,12,1.0,12,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Marin,Napoli,D,,,,,,,,,,12,1.0,12,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Oyono,Frosinone,D,,,,,,,,,,12,1.0,12,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Torbjørn Heggem,Bologna,D,26,27,2113,0,0,1.02,0.05,0,1,12,0.939,11,True,match su cognome+squadra
Nicolò Bertola,Udinese,D,22,28,1763,0,1,1,1.55,3,0,12,0.943,11,True,match su cognome+squadra
Juan Rodríguez,Cagliari,D,20,17,1310,1,0,1.2,0,3,0,12,0.911,11,True,match su cognome+squadra
Martin Vitík,Bologna,D,22,19,1325,0,0,0.74,0.17,3,0,13,0.869,11,True,match su cognome+squadra
Delli Carri,Monza,D,,,,,,,,,,11,1.0,11,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Halhal,Venezia,D,,,,,,,,,,11,1.0,11,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Mangas,Monza,D,,,,,,,,,,11,1.0,11,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Monterisi,Frosinone,D,,,,,,,,,,11,1.0,11,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Sead Kolašinac,Atalanta,D,32,19,1212,0,0,0.12,0,3,0,12,0.852,10,True,match su cognome+squadra
Manuel Lazzari,Lazio,D,31,23,938,0,0,0.11,0.13,2,0,12,0.817,10,True,match su cognome+squadra
Bella-Kotchap,Venezia,D,,,,,,,,,,10,1.0,10,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Carboni,Monza,D,,,,,,,,,,10,1.0,10,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Corrado,Frosinone,D,,,,,,,,,,10,1.0,10,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Ravanelli,Monza,D,,,,,,,,,,10,1.0,10,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Siebert,Lecce,D,,,,,,,,,,10,1.0,10,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Riyad Idrissi,Cagliari,D,20,23,783,2,0,0.79,0.25,3,0,10,0.87,9,True,match su cognome+squadra
Patric,Lazio,D,32,14,667,0,0,0.23,0.31,2,0,11,0.791,9,True,match su cognome+squadra
Lautaro Valenti,Parma,D,26,27,2252,0,0,0.49,1.17,7,0,9,0.969,9,True,match su cognome+squadra
Luca Pellegrini,Lazio,D,26,24,1469,1,0,0.64,0.83,8,0,10,0.92,9,True,match su cognome+squadra
Josh Doig,Sassuolo,D,23,30,1917,0,0,0.75,1.5,5,0,10,0.943,9,True,match su cognome+squadra
Alhassane,Bologna,D,,,,,,,,,,9,1.0,9,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Comert,Torino,D,,,,,,,,,,9,1.0,9,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Schingtienne,Venezia,D,,,,,,,,,,9,1.0,9,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Sverko,Venezia,D,,,,,,,,,,9,1.0,9,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Terracciano,Milan,D,,,,,,,,,,9,1.0,9,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Alessandro Zanoli,Udinese,D,24,19,1280,1,2,0.1,1.55,1,0,8,0.939,8,True,match su cognome+squadra
Sascha Britschgi,Parma,D,18,29,2095,0,2,0.41,2.03,7,1,8,0.969,8,True,match su cognome+squadra
Niccolò Fortini,Fiorentina,D,19,16,541,0,0,0.23,0.46,0,0,10,0.775,8,True,match su cognome+squadra
Alberto Moreno,Venezia,D,33,19,1233,2,1,1.59,1.92,4,0,8,0.967,8,True,"match su cognome (squadra diversa, trasferimento presunto)"
Luca Marianucci,Napoli,D,21,10,575,0,0,0.02,0.67,2,0,10,0.784,8,True,"match su cognome (squadra diversa, trasferimento presunto)"
Luca Marianucci,Napoli,D,21,2,119,0,1,0.01,0.31,0,0,10,0.751,8,True,match su cognome+squadra
Akpoguma,Frosinone,D,,,,,,,,,,8,1.0,8,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Franjic,Venezia,D,,,,,,,,,,8,1.0,8,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Gaspar,Lecce,D,,,,,,,,,,8,1.0,8,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Kumbulla,Roma,D,,,,,,,,,,8,1.0,8,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Mussolini,Lazio,D,,,,,,,,,,8,1.0,8,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Oyono,Frosinone,D,,,,,,,,,,8,1.0,8,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Puczka,Genoa,D,,,,,,,,,,8,1.0,8,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Sagrado,Venezia,D,,,,,,,,,,8,1.0,8,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Pervis Estupiñán,Milan,D,27,19,1034,1,1,0.48,1.58,5,1,8,0.879,7,True,match su cognome+squadra
Enzo Ebosse,Udinese,D,26,13,1115,0,1,0,0.52,3,0,8,0.858,7,True,"match su cognome (squadra diversa, trasferimento presunto)"
Alberto Dossena,Como,D,26,12,859,0,1,0.9,0.61,5,0,8,0.84,7,True,"match su cognome (squadra diversa, trasferimento presunto)"
Saba Goglichidze,Udinese,D,21,8,424,0,0,0.55,0.06,2,0,9,0.77,7,True,match su cognome+squadra
Bracaglia,Frosinone,D,,,,,,,,,,7,1.0,7,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Gelli,Frosinone,D,,,,,,,,,,7,1.0,7,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Mitaj,Genoa,D,,,,,,,,,,7,1.0,7,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Cristiano Biraghi,Torino,D,32,14,517,0,0,0.06,0.36,0,0,8,0.777,6,True,match su cognome+squadra
Angeliño,Roma,D,28,7,416,0,0,0.23,0.28,2,0,8,0.769,6,True,match su cognome+squadra
Jay Idzes,Sassuolo,D,25,35,3061,0,0,0.2,0.74,2,0,6,1.054,6,True,match su cognome+squadra
Abdoulaye Ndiaye,Parma,D,23,11,780,0,0,0.36,0.02,5,1,7,0.786,6,True,match su cognome+squadra
Jan Ziółkowski,Roma,D,20,18,517,0,0,0.14,0.04,3,0,8,0.773,6,True,match su cognome+squadra
Fali Candé,Sassuolo,D,27,12,509,0,0,0.17,0.01,2,0,8,0.773,6,True,match su cognome+squadra
Edoardo Goldaniga,Como,D,31,2,15,0,0,0,0,0,0,8,0.75,6,True,match su cognome+squadra
Cittadini,Frosinone,D,,,,,,,,,,6,1.0,6,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Jean,Lecce,D,,,,,,,,,,6,1.0,6,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Lucchesi,Monza,D,,,,,,,,,,6,1.0,6,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Otoa,Genoa,D,,,,,,,,,,6,1.0,6,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Pieragnolo,Sassuolo,D,,,,,,,,,,6,1.0,6,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Pasquale Mazzocchi,Napoli,D,30,16,310,0,1,0.05,1.14,0,1,6,0.756,5,True,match su cognome+squadra
Nicolò Casale,Bologna,D,27,12,678,0,0,0.75,0.2,0,0,6,0.805,5,True,match su cognome+squadra
Eivind Helland,Bologna,D,20,6,484,0,0,0.1,0.15,2,0,7,0.774,5,True,match su cognome+squadra
Amey,Frosinone,D,,,,,,,,,,5,1.0,5,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Brorsson,Monza,D,,,,,,,,,,5,1.0,5,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Diawara,Milan,D,,,,,,,,,,5,1.0,5,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
El Azzouzi,Frosinone,D,,,,,,,,,,5,1.0,5,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Gomes,Venezia,D,,,,,,,,,,5,1.0,5,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Kouassi,Lecce,D,,,,,,,,,,5,1.0,5,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Juan Arizala,Udinese,D,19,10,191,0,0,0.03,0.14,0,0,5,0.75,4,True,match su cognome+squadra
Franco Carboni,Parma,D,22,7,114,0,0,0,0,0,0,6,0.75,4,True,match su cognome+squadra
Tariq Lamptey,Fiorentina,D,24,2,25,0,0,0,0.12,0,0,5,0.75,4,True,match su cognome+squadra
Lorenzo De Silvestri,Bologna,D,37,12,491,0,0,0,0.16,2,0,5,0.773,4,True,match su cognome+squadra
Mitchel Bakker,Atalanta,D,25,1,9,0,0,0,0,0,0,6,0.75,4,True,match su cognome+squadra
Eddy Kouadio,Monza,D,19,3,72,0,0,0,0.01,0,0,5,0.75,4,True,"match su cognome (squadra diversa, trasferimento presunto)"
Gigot,Lazio,D,,,,,,,,,,4,1.0,4,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Kofler,Cagliari,D,,,,,,,,,,4,1.0,4,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Ndaba,Lecce,D,,,,,,,,,,4,1.0,4,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Daniele Rugani,Juventus,D,31,6,250,0,0,0,0,0,0,4,0.75,3,True,match su cognome+squadra
Matteo Palma,Udinese,D,17,5,120,0,0,0,0,0,0,4,0.75,3,True,match su cognome+squadra
Cas Odenthal,Sassuolo,D,24,1,1,0,0,0,0,0,0,4,0.75,3,True,match su cognome+squadra
Daniele Rugani,Juventus,D,31,6,327,0,0,0.27,0,2,0,4,0.758,3,True,"match su cognome (squadra diversa, trasferimento presunto)"
Luís Balbo,Fiorentina,D,19,6,212,0,0,0,0.06,0,0,4,0.75,3,True,match su cognome+squadra
Antov,Monza,D,,,,,,,,,,3,1.0,3,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Branimir Mlacic,Udinese,D,18,7,166,0,0,0,0.05,2,0,3,0.75,2,True,match su cognome+squadra
Ali Dembélé,Torino,D,21,2,21,0,0,0.05,0,0,0,3,0.75,2,True,match su cognome+squadra
Obleac,Frosinone,D,,,,,,,,,,2,1.0,2,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Matteo Cocchi,Inter,D,18,1,17,0,0,0,0,0,0,1,0.75,1,True,match su cognome+squadra
David Odogu,Milan,D,19,2,6,0,0,0,0,0,0,1,0.75,1,True,match su cognome+squadra
Eman Košpo,Fiorentina,D,18,0,0,0,0,,,0,0,1,0.75,1,True,match su cognome+squadra
Abankwah,Udinese,D,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Bakoune,Monza,D,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Bovio,Inter,D,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Capolupo,Monza,D,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Comi,Atalanta,D,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
De Paoli,Como,D,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Galassi,Lazio,D,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Kumer Celik,Genoa,D,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Ligue,Venezia,D,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Mannini,Roma,D,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Markovic,Bologna,D,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Obaretin,Napoli,D,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Perez,Lecce,D,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Sangaré,Roma,D,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Sidibé,Venezia,D,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Venturi,Venezia,D,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Mile Svilar,Roma,P,25,38,3420,0,0,0,0,0,0,38,1.0,38,True,match su cognome+squadra
Mike Maignan,Milan,P,30,37,3295,0,0,0,0,4,0,34,1.0,34,True,match su cognome+squadra
Marco Carnesecchi,Atalanta,P,25,37,3330,0,0,0,0,0,0,34,1.0,34,True,match su cognome+squadra
Jean Butez,Como,P,30,38,3420,0,1,0,0.45,3,0,32,1.0,32,True,match su cognome+squadra
Vanja Milinković-Savić,Napoli,P,28,27,2430,0,1,0,0.3,0,0,29,1.0,29,True,match su cognome+squadra
Josep Martinez,Inter,P,27,5,450,0,0,0,0,0,0,29,1.0,29,True,"match su cognome+squadra, spareggiato su portiere"
Michele Di Gregorio,Juventus,P,28,30,2655,0,0,0,0,1,0,26,1.0,26,True,match su cognome+squadra
Łukasz Skorupski,Bologna,P,34,19,1592,0,0,0,0,1,1,25,1.0,25,True,match su cognome+squadra
Mandas,Lazio,P,,,,,,,,,,25,1.0,25,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
David de Gea,Fiorentina,P,34,37,3330,0,0,0,0.03,0,0,24,1.0,24,True,match su cognome+squadra
Elia Caprile,Cagliari,P,23,38,3420,0,0,0,0.12,2,0,20,1.0,20,True,match su cognome+squadra
Bijlow,Genoa,P,,,,,,,,,,20,1.0,20,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Alberto Paleari,Torino,P,32,29,2610,0,0,0,0,1,0,18,1.0,18,True,match su cognome+squadra
Maduka Okoye,Udinese,P,25,30,2616,0,0,0,0.07,1,1,17,1.0,17,True,match su cognome+squadra
Falcone,Lecce,P,,,,,,,,,,17,1.0,17,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Arijanet Muric,Sassuolo,P,26,32,2880,0,0,0,0.03,4,0,16,1.0,16,True,match su cognome+squadra
Alex Meret,Napoli,P,28,11,979,0,1,0,0.27,1,0,15,1.0,15,True,match su cognome+squadra
Stankovic,Venezia,P,,,,,,,,,,13,1.0,13,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Zion Suzuki,Parma,P,22,20,1800,0,0,0,0.03,1,0,12,1.0,12,True,match su cognome+squadra
Palmisani,Frosinone,P,,,,,,,,,,12,1.0,12,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Thiam,Monza,P,,,,,,,,,,11,1.0,11,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Ivan Provedel,Inter,P,31,27,2430,0,0,0,0.23,1,0,1,1.0,1,True,"match su cognome (squadra diversa, trasferimento presunto)"
Edoardo Corvi,Parma,P,24,17,1530,0,0,0,0,1,0,1,1.0,1,True,match su cognome+squadra
Federico Ravaglia,Bologna,P,25,17,1470,0,0,0,0,4,0,1,1.0,1,True,match su cognome+squadra
Mattia Perin,Juventus,P,32,9,765,0,0,0,0.08,0,0,1,1.0,1,True,match su cognome+squadra
Edoardo Motta,Lazio,P,20,9,810,0,0,0,0.05,1,0,1,1.0,1,True,match su cognome+squadra
Franco Israel,Torino,P,25,9,810,0,0,0,0,1,0,1,1.0,1,True,match su cognome+squadra
Stefano Turati,Sassuolo,P,23,6,532,0,0,0,0.04,0,0,1,1.0,1,True,match su cognome+squadra
Massimo Pessina,Bologna,P,17,4,353,0,0,0,0,0,0,1,1.0,1,True,match su cognome+squadra
Raffaele Di Gennaro,Inter,P,31,1,10,0,0,0,0,0,0,1,1.0,1,True,match su cognome+squadra
Nikita Contini,Napoli,P,29,1,11,0,0,0,0,0,0,1,1.0,1,True,match su cognome+squadra
Pietro Terracciano,Milan,P,35,2,125,0,0,0,0,0,0,1,1.0,1,True,"match su cognome+squadra, spareggiato su portiere"
Marco Sportiello,Atalanta,P,33,1,90,0,0,0,0,0,0,1,1.0,1,True,match su cognome+squadra
Alessio Furlanetto,Lazio,P,23,2,180,0,0,0,0,0,0,1,1.0,1,True,match su cognome+squadra
Daniele Padelli,Udinese,P,39,2,180,0,0,0,0,0,0,1,1.0,1,True,match su cognome+squadra
Gioele Zacchi,Sassuolo,P,22,1,8,0,0,0,0,0,0,1,1.0,1,True,match su cognome+squadra
Filippo Rinaldi,Parma,P,22,1,90,0,0,0,0,1,0,1,1.0,1,True,match su cognome+squadra
Oliver Christensen,Fiorentina,P,26,1,86,0,0,0,0,0,0,1,1.0,1,True,match su cognome+squadra
Luca Lezzerini,Fiorentina,P,30,1,4,0,0,0,0,0,0,1,1.0,1,True,match su cognome+squadra
Audero,Como,P,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Ciocci,Cagliari,P,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Daffara,Parma,P,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Desplanches,Frosinone,P,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Ferrante,Napoli,P,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Fruchtl,Lecce,P,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Gollini,Roma,P,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Grandi,Venezia,P,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Happonen,Bologna,P,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Lolic,Frosinone,P,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Lysionok,Genoa,P,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Mascardi,Torino,P,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Pardel,Atalanta,P,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Penev,Lecce,P,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Piana,Udinese,P,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
